S2_band0_mean,S2_band0_std,S2_band0_min,S2_band0_max,S2_band1_mean,S2_band1_std,S2_band1_min,S2_band1_max,S2_band2_mean,S2_band2_std,S2_band2_min,S2_band2_max,S2_band3_mean,S2_band3_std,S2_band3_min,S2_band3_max,S2_band4_mean,S2_band4_std,S2_band4_min,S2_band4_max,S2_band5_mean,S2_band5_std,S2_band5_min,S2_band5_max,S2_band6_mean,S2_band6_std,S2_band6_min,S2_band6_max,S2_band7_mean,S2_band7_std,S2_band7_min,S2_band7_max,S2_band8_mean,S2_band8_std,S2_band8_min,S2_band8_max,S2_band9_mean,S2_band9_std,S2_band9_min,S2_band9_max,S1A_band0_mean,S1A_band0_std,S1A_band0_min,S1A_band0_max,S1A_band1_mean,S1A_band1_std,S1A_band1_min,S1A_band1_max,S1A_band2_mean,S1A_band2_std,S1A_band2_min,S1A_band2_max,S1D_band0_mean,S1D_band0_std,S1D_band0_min,S1D_band0_max,S1D_band1_mean,S1D_band1_std,S1D_band1_min,S1D_band1_max,S1D_band2_mean,S1D_band2_std,S1D_band2_min,S1D_band2_max,label
1606.8035714285713,1845.7718501018594,-497.0,7303.0,1804.2018272425248,1748.0809971854605,-349.0,7146.0,1959.7603820598006,1808.0336923114594,-319.0,7343.0,2183.326827242525,1734.4159653253068,-330.0,7281.0,2856.718438538206,1676.0408779453267,-238.0,7438.0,3094.943521594684,1679.0884855060579,0.0,7551.0,3191.764534883721,1639.863693019156,-227.0,7636.0,3266.595930232558,1701.6421223995076,-202.0,7605.0,2612.9015780730897,1465.1177865967504,0.0,5724.0,2022.4136212624585,1240.7667677451338,0.0,4677.0,-11.307901839371565,2.9511293990504672,-23.96875,-1.9736328125,-17.663023695054946,3.1270683821831047,-30.71875,-9.5625,6.355240320897364,3.3308773398333225,-6.3671875,16.96875,-10.490929739815849,3.1439584841366637,-20.609375,-0.342529296875,-18.112095424107142,3.4886839294849463,-31.890625,-9.6171875,7.621178140445632,3.359997922386391,-3.23046875,19.703125,12
1647.6041666666667,2023.4759605655101,-513.0,9837.0,1805.983527131783,1885.9403561248769,-488.0,9538.0,1972.7940891472867,1911.3180047432609,0.0,9939.0,2172.6937984496126,1814.6893033449883,-448.0,9806.0,2936.5508720930234,1627.5564745465476,-262.0,9906.0,3212.483527131783,1591.9650083801903,0.0,9758.0,3306.3531976744184,1617.6398600495631,-216.0,9807.0,3371.9123062015506,1611.7329729002347,-194.0,9782.0,2615.4781976744184,1426.5251954471707,0.0,6637.0,2039.2911821705427,1222.233876647416,0.0,5553.0,-10.985281567695813,3.0475289625422577,-22.859375,-0.2015380859375,-17.619606370192308,3.267963428642447,-29.296875,-9.046875,6.634077942677033,3.222760269465259,-5.12890625,19.03125,-10.072607331048875,3.404304147804885,-22.359375,6.0625,-18.03154529389881,3.405887695348634,-33.84375,-8.9296875,7.959120886666434,3.442773452111895,-3.263671875,24.328125,12
1575.6186683657215,2049.999049918274,-688.0,11389.0,1670.7026122969098,1911.3584733709292,-590.0,10629.0,1746.338802166295,1932.0108686428975,-404.0,10588.0,1950.1741000318573,1831.5192147702794,-505.0,10346.0,2836.330359987257,1617.4283596806288,-484.0,10180.0,3262.0,1606.9952436040103,0.0,9712.0,3370.532653711373,1660.044426531308,-398.0,9804.0,3434.237655304237,1620.1559702259897,-394.0,9530.0,2188.426728257407,1348.6738539583644,-37.0,6702.0,1552.1702771583307,1098.776413433461,0.0,5518.0,-11.323057885767913,4.137675594972014,-24.4375,-0.982421875,-18.093731065595364,3.4300621217276377,-30.21875,-8.921875,6.770561695802325,3.4422257518256156,-6.48828125,19.921875,-10.75304016143142,4.20529812020271,-26.796875,-0.0157623291015625,-17.9999740092955,3.702007676165803,-35.40625,-8.03125,7.247008136667151,3.5088392919304514,-7.109375,21.71875,2
1527.8337523570083,1854.0600702508466,-746.0,7836.0,1719.9595642153781,1751.9749980873862,-632.0,7312.0,1930.3610936517914,1773.9139745950433,-129.0,7272.0,2125.4950764718205,1702.3301102120497,-543.0,7106.0,2803.4583071443535,1593.2409518862698,-283.0,7645.0,3068.306411062225,1603.6642311086825,-136.0,7750.0,3151.1760946993504,1565.9209615038103,-216.0,7956.0,3247.8970249319086,1588.767036209611,-223.0,7996.0,2543.0265032474335,1293.111631380068,0.0,6234.0,1947.8357427194637,1150.2803847721273,0.0,5228.0,-12.00016188063063,3.2161471232377172,-27.359375,-3.34765625,-18.516434944559943,3.219668022008942,-33.75,-8.671875,6.516130324989578,3.3466015587306788,-5.75,22.125,-11.512465562660875,3.215882102208575,-24.78125,-1.267578125,-18.837818733912485,3.08138866740746,-32.5,-9.3125,7.325462486630395,3.4076176033906,-6.96875,22.109375,12
1749.3536434108528,2099.5367967680036,-632.0,8999.0,1918.3353488372093,1994.3423673190603,-493.0,8747.0,2098.4046511627907,2028.3208880979964,-518.0,8934.0,2286.968527131783,1957.8264513046254,-389.0,8952.0,3071.0879069767443,1776.5067920486104,-285.0,8961.0,3397.4141085271317,1739.4556207549947,0.0,8922.0,3497.8567441860464,1755.4788674023894,-266.0,8623.0,3549.3998449612404,1744.3899166655135,-264.0,8719.0,2581.357674418605,1543.0584451819395,0.0,6045.0,2044.8568992248063,1361.384909711572,0.0,5317.0,-9.874875,3.3530011060469125,-24.6875,-0.888671875,-17.693798076923077,3.6935224746745194,-32.40625,-8.1640625,7.819097937950721,3.3432632204834793,-4.9296875,21.53125,-9.188871534075055,3.495272830737844,-23.8125,1.609375,-17.76420907738095,3.77889778743249,-32.5,-8.7265625,8.575447463262648,3.319859298838471,-4.2578125,22.265625,12
1644.712641031545,2144.4907468958663,-591.0,9439.0,1845.680635505411,2048.0640925749444,-429.0,9198.0,1956.4409394427814,2134.1185483694085,-395.0,9445.0,2227.7206999769746,2010.1811272745117,-368.0,9452.0,3303.343541330877,1751.7754629869319,-200.0,9536.0,3649.7697444163023,1729.684285712153,0.0,9706.0,3714.129864149206,1671.4185082692738,-163.0,9222.0,3841.4423209762836,1716.347955333217,-136.0,9769.0,2607.0398342159797,1232.8017552109054,0.0,7190.0,1936.9007598434262,1076.9179077869621,0.0,5212.0,-9.093693380944163,3.6015914838423995,-22.65625,1.197265625,-17.741299742955064,3.5741779065955925,-33.03125,-8.2421875,8.647764309652871,3.358964608086635,-4.0546875,21.6875,-9.023587966066438,3.3376840414979103,-21.609375,1.3115234375,-17.730447754596888,3.4983597486895093,-29.390625,-7.9921875,8.706851036578964,3.3696950430826242,-4.109375,22.5625,12
1579.6530048353673,2035.3756174799048,-661.0,10671.0,1700.12203545936,1899.122746771252,-582.0,9755.0,1777.276767211605,1919.2385860068196,-351.0,9476.0,2011.8752014736358,1808.4999128255777,-487.0,9613.0,2878.2037761915726,1634.2024893944742,-464.0,9511.0,3263.8471102924245,1645.4975623206872,0.0,9256.0,3368.6106378079667,1684.7121158610923,-401.0,9583.0,3452.1162790697676,1656.911606962041,-391.0,9181.0,2291.542712410776,1328.7696281917,0.0,6923.0,1605.0980888786553,1047.6810712403183,0.0,5715.0,-11.740058102865575,3.9374055182077616,-24.1875,-0.38671875,-18.122393254950495,3.009907671529191,-30.21875,-7.53515625,6.382268362052551,3.5462839127970462,-5.8984375,19.515625,-11.715778563417167,3.8888371912355777,-25.59375,-0.422607421875,-18.385686660183875,3.2428568209613564,-31.328125,-7.421875,6.669911929809052,3.5902781336961085,-5.390625,23.15625,2
1544.5697674418604,1880.0274712191272,-594.0,6842.0,1719.7397137745975,1797.3982942399246,-544.0,7399.0,1905.2374776386405,1857.609872333375,-31.0,7856.0,2095.2459749552772,1775.2194438053225,-469.0,7882.0,2714.5728980322006,1651.5388548413912,-292.0,8009.0,2928.4722719141323,1622.7080290739723,0.0,8152.0,3014.248658318426,1556.1391173286247,-206.0,8412.0,3111.7875670840785,1586.8414499130213,-210.0,8420.0,2521.8537567084077,1254.5214079321038,0.0,6476.0,1895.180679785331,1074.7299051226003,0.0,4668.0,-11.176119579789201,3.1867454718041497,-22.859375,-1.7158203125,-18.08568324704142,3.0914284415479028,-30.21875,-9.5625,6.909447853946121,3.233968741765292,-4.5703125,18.921875,-10.52329624720982,3.8774568944788337,-24.296875,1.0390625,-18.348162774725274,3.1404222081725393,-30.3125,-8.6875,7.825005516639123,3.5754417882720446,-4.93359375,24.25,12
1512.4934003771214,2012.5771954744991,-690.0,7925.0,1641.0565681961032,1918.8352663339163,-582.0,7830.0,1748.872250157134,1969.1615472354026,-578.0,7799.0,1970.8527655562539,1883.2816567677803,-479.0,7595.0,2693.7985543683217,1787.2701714008726,-298.0,7629.0,3049.9643306096796,1776.1013971587222,0.0,7657.0,3167.1329352608423,1773.9278714058432,-299.0,8167.0,3259.602451288498,1792.6322767384,-292.0,7696.0,2343.4201759899433,1493.654114945162,0.0,5800.0,1700.4962287869264,1208.7250353229952,0.0,5193.0,-12.414355354547006,3.6129737368708628,-24.6875,8.28125,-19.128848590176716,2.8884055221255025,-33.03125,-5.8359375,6.714709123702654,3.55984328216876,-7.0703125,26.609375,-10.850330049374849,3.8843940602385616,-26.46875,11.7890625,-19.23688955417471,3.198333553920596,-33.84375,-3.330078125,8.386542982300275,3.913356712834862,-5.2890625,23.078125,2
1645.4583843329253,1986.7142898063544,-569.0,7229.0,1823.6505507955937,1794.2473039347658,-401.0,6924.0,1936.0165238678092,1806.143815250355,-357.0,6966.0,2179.468788249694,1668.83300478599,-377.0,6680.0,2995.0079559363526,1509.2107190279119,-297.0,6877.0,3245.8029375764995,1476.5306052503838,0.0,6905.0,3406.981028151775,1529.7679799458108,-284.0,7077.0,3436.4926560587514,1490.5806140425718,-270.0,6996.0,2679.3720930232557,1381.3510982551907,0.0,5813.0,2063.9124847001226,1184.5310808796698,0.0,4961.0,-10.640043806933198,2.9131007992136393,-23.71875,-2.7109375,-16.980664853238867,2.99518924096566,-30.21875,-8.71875,6.340447404992725,3.0946704860988916,-4.9921875,18.0,-9.808834810185253,3.5352759410951418,-21.609375,2.2109375,-17.54044290413534,3.045680196359108,-28.96875,-9.09375,7.731332122114368,3.491137989603791,-4.28515625,19.859375,12
